unit,unit_pop,elev
1,0,NaN
2,0,NaN
3,0,NaN
4,0,NaN
5,66947,122.58921236201772
6,0,NaN
7,18,186.11111111111111
8,0,NaN
9,11783,108.44818806755495
10,0,NaN
11,465,92.55698924731183
12,25886,1938.408212933632
13,3527,2405.6223419336548
14,5018,1559.2512953367875
15,32858,1524.2680625722808
16,25730,1091.8031092110377
17,52329,2140.124997611267
18,13657,2029.6819945815332
19,15873,2050.6918036918037
20,18692,921.5860261074256
21,9606,1467.37861753071
22,160743,291.83436914826774
23,37037,94.28841428841429
24,12465,1375.4854392298435
25,6507,1043.813124327647
26,53586,1770.7825364834098
27,458876,2236.5700821136866
28,8114,2793.633473009613
29,13916,1937.4289307272204
30,20473,1631.1598690958824
31,11403,1294.607471717969
32,8577,1676.2147604057363
33,36531,195.50450302482824
34,9586,2343.33392447319
35,86760,2109.2902720147536
36,12095,1358.948987184787
37,20482,1763.3555316863587
38,6278,633.027237973877
39,8168,1868.0017140058767
40,51997,150.03777140988902
41,5321,2082.503476790077
42,109195,67.33231375062961
43,70738,144.80834911928525
44,11222,1371.289698805917
45,36555,1701.5150321433457
46,22463,1435.7935716511597
47,6103,2036.0476814681303
48,26664,1415.1146864686468
49,74024,1920.8414703339458
50,29464,1238.1883654629378
51,22902,2077.05466771461
52,21698,1450.5546133284174
53,56407,320.69785664899746
54,50709,2090.8246070717228
55,16270,1255.779840196681
56,10256,2509.655811232449
57,222381,2045.1932943911575
58,26080,1260.9737346625766
59,26318,1253.0905083972946
60,4501,2128.90224394579
61,51086,1828.9442508710802
62,13969,1494.8524590163934
63,13846,1824.0297558861764
64,7541,1532.6296247182072
65,62165,2335.491369741816
66,6161,1941.4343450738515
67,18802,2101.5905754706946
68,6120,1203.8101307189543
69,251584,1671.1967533706436
70,33151,1632.4240596060451
71,18608,2287.7711199484093
72,15998,1703.5131891486435
73,56471,2249.73179153902
74,66850,1990.616679132386
75,13519,768.3307936977587
76,22406,2454.4601892350265
77,11683,1731.4489429084995
78,10067,792.4405483262144
79,56179,2133.9983801776466
80,2751999,2047.945764515176
81,11904,1810.5032762096773
82,4570,249.46301969365427
83,18391,373.9642216301452
84,19387,1611.4345179759632
85,26737,96.49882185735123
86,60222,71.9807047258477
87,3876,1213.7760577915376
88,19972,2008.8537452433407
89,11732,2006.687095124446
90,9838,1575.2881683268956
91,48819,308.2021548987075
92,21572,309.4678286667903
93,20285,224.94685728370717
94,28460,530.1601194659171
95,24767,2465.2454879476722
96,121244,2163.6411616244927
97,10324,1406.459511817125
98,57469,1804.5897266352295
99,21876,1717.013485097824
100,9260,2153.087149028078
101,20875,1017.1872095808383
102,8197,879.418689764548
103,22870,1765.1943594228246
104,4037,2777.0302204607383
105,26163,57.33088713068073
106,14177,870.6861113070466
107,45457,2580.8873220846076
108,35686,150.46217003867062
109,15457,1258.646244420004
110,22133,1125.8222563592826
111,26941,2195.013214060354
112,25465,1429.2746122128412
113,38973,2433.8287019218433
114,29238,1467.7208769409672
115,14736,1685.4737377850163
116,31024,2208.59486204229
117,47105,499.27226409086086
118,49183,1359.2518553158611
119,20530,1730.1784705309303
120,38244,621.3658874594707
121,16964,1196.20466871021
122,16888,1236.893711511132
123,7070,1309.468458274399
124,151220,95.41593043248247
125,9916,1382.4471561113353
126,48723,1604.2407281981816
127,21308,856.8826731743945
128,6281,1147.0592262378602
129,13788,892.0143603133159
130,9191,1004.3725383527363
131,7338,129.2666939220496
132,9973,910.593101373709
133,50789,2116.399200614306
134,24968,1166.4727651393785
135,20478,99.01342904580525
136,29766,146.8727071155009
137,121198,116.64042310929223
138,57879,155.90756578379032
139,6686,112.66856117259947
140,33873,1176.1833613792696
141,2993,130.45539592382227
142,62544,355.4462618316705
143,74875,951.7618297161937
144,59581,131.66452392541245
145,1445291,42.75371395795034
146,15197,6.373231558860302
147,15727,32.01551471990844
148,71313,81.50676594730274
149,18785,77.2055895661432
150,28860,78.33811503811503
151,141621,50.41369570896971
152,18247,31.342412451361866
153,28466,20.744396824281598
154,5113,84.08918443184041
155,19676,81.34473470217524
156,26115,26.261037717786714
157,32646,52.97436133063775
158,26793,101.67528832157653
159,36049,18.297955560487114
160,106220,75.08556768970062
161,11479,6.15219095740047
162,23649,32.503150238910735
163,562373,18.842319954905374
164,10111,6.863416081495401
165,16382,103.39970699548284
166,10848,109.57669616519173
167,8788701,3219.95693516027
168,34226,28.72409863846199
169,15582,64.06071107688358
170,21289,562.9519939875053
171,82788,31.422585398850075
172,11695,51.86259085079094
173,21416,80.56742622338439
174,26595,40.6065049821395
175,12171,268.5513104921535
176,1062333,24.505950582350355
177,11397,14.08010880056155
178,18795,81.19542431497739
179,12152,53.469140882159316
180,71530,212.80162169719
181,8131,97.37892018201943
182,9613,31.40934151669614
183,13625,24.88623853211009
184,136138,30.7178965461517
185,29699,45.72679214788377
186,10690,21.793919550982228
187,53916,27.623581126196306
188,42485,14.053006943627162
189,28576,522.6315089585667
190,27167,501.816247653403
