GID_2,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,NAME_2,VARNAME_2,NL_NAME_2,TYPE_2,ENGTYPE_2,CC_2,HASC_2,id
COL.1.1_2,COL,Colombia,COL.1_2,Amazonas,NA,El Encanto,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.AM.EE,1
COL.1.2_2,COL,Colombia,COL.1_2,Amazonas,NA,La Chorrera,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.AM.LC,2
COL.1.3_2,COL,Colombia,COL.1_2,Amazonas,NA,La Pedrera,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.AM.LP,3
COL.1.4_2,COL,Colombia,COL.1_2,Amazonas,NA,La Victoria,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.BY.LV,4
COL.1.5_2,COL,Colombia,COL.1_2,Amazonas,NA,Leticia,NA,NA,Municipio,Municipality,NA,CO.AM.LE,5
COL.1.6_2,COL,Colombia,COL.1_2,Amazonas,NA,Mirití-Paraná,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.AM.MI,6
COL.1.7_2,COL,Colombia,COL.1_2,Amazonas,NA,Puerto Alegria,NA,NA,Municipio,Municipality,NA,CO.AM.AL,7
COL.1.8_2,COL,Colombia,COL.1_2,Amazonas,NA,Puerto Arica,NA,NA,Municipio,Municipality,NA,CO.AM.AR,8
COL.1.9_2,COL,Colombia,COL.1_2,Amazonas,NA,Puerto Nariño,NA,NA,Municipio,Municipality,NA,CO.AM.PN,9
COL.1.10_2,COL,Colombia,COL.1_2,Amazonas,NA,Puerto Santander,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.AM.PS,10
COL.1.11_2,COL,Colombia,COL.1_2,Amazonas,NA,Tarapacá,NA,NA,Corregimiento Departamental,Corregimiento Departamental,NA,CO.AM.TA,11
COL.2.1_2,COL,Colombia,COL.2_2,Antioquia,NA,Abejorral,NA,NA,Municipio,Municipality,NA,CO.AN.AB,12
COL.2.2_2,COL,Colombia,COL.2_2,Antioquia,NA,Abriaquí,NA,NA,Municipio,Municipality,NA,CO.AN.AQ,13
COL.2.3_2,COL,Colombia,COL.2_2,Antioquia,NA,Alejandría,NA,NA,Municipio,Municipality,NA,CO.AN.AJ,14
COL.2.4_2,COL,Colombia,COL.2_2,Antioquia,NA,Amagá,NA,NA,Municipio,Municipality,NA,CO.AN.AM,15
COL.2.5_2,COL,Colombia,COL.2_2,Antioquia,NA,Amalfi,NA,NA,Municipio,Municipality,NA,CO.AN.AF,16
COL.2.6_2,COL,Colombia,COL.2_2,Antioquia,NA,Andes,NA,NA,Municipio,Municipality,NA,CO.AN.AD,17
COL.2.7_2,COL,Colombia,COL.2_2,Antioquia,NA,Angelópolis,NA,NA,Municipio,Municipality,NA,CO.AN.AL,18
COL.2.8_2,COL,Colombia,COL.2_2,Antioquia,NA,Angostura,NA,NA,Municipio,Municipality,NA,CO.AN.AS,19
COL.2.9_2,COL,Colombia,COL.2_2,Antioquia,NA,Anorí,NA,NA,Municipio,Municipality,NA,CO.AN.AN,20
COL.2.10_2,COL,Colombia,COL.2_2,Antioquia,NA,Anzá,NA,NA,Municipio,Municipality,NA,CO.AN.AZ,21
COL.2.11_2,COL,Colombia,COL.2_2,Antioquia,NA,Apartadó,NA,NA,Municipio,Municipality,NA,CO.AN.AP,22
COL.2.12_2,COL,Colombia,COL.2_2,Antioquia,NA,Arboletes,NA,NA,Municipio,Municipality,NA,CO.AN.AR,23
COL.2.13_2,COL,Colombia,COL.2_2,Antioquia,NA,Argelia,NA,NA,Municipio,Municipality,NA,CO.AN.AG,24
COL.2.14_2,COL,Colombia,COL.2_2,Antioquia,NA,Armenia,Mantequilla,NA,Municipio,Municipality,NA,CO.AN.AA,25
COL.2.15_2,COL,Colombia,COL.2_2,Antioquia,NA,Barbosa,NA,NA,Municipio,Municipality,NA,CO.AN.BB,26
COL.2.16_2,COL,Colombia,COL.2_2,Antioquia,NA,Bello,NA,NA,Municipio,Municipality,NA,CO.AN.BL,27
COL.2.17_2,COL,Colombia,COL.2_2,Antioquia,NA,Belmira,NA,NA,Municipio,Municipality,NA,CO.AN.BM,28
COL.2.18_2,COL,Colombia,COL.2_2,Antioquia,NA,Betania,NA,NA,Municipio,Municipality,NA,CO.AN.BN,29
COL.2.19_2,COL,Colombia,COL.2_2,Antioquia,NA,Betulia,NA,NA,Municipio,Municipality,NA,CO.AN.BE,30
COL.2.20_2,COL,Colombia,COL.2_2,Antioquia,NA,Briceño,NA,NA,Municipio,Municipality,NA,CO.AN.BR,31
COL.2.21_2,COL,Colombia,COL.2_2,Antioquia,NA,Buriticá,NA,NA,Municipio,Municipality,NA,CO.AN.BU,32
COL.2.22_2,COL,Colombia,COL.2_2,Antioquia,NA,Cáceres,NA,NA,Municipio,Municipality,NA,CO.AN.CE,33
COL.2.23_2,COL,Colombia,COL.2_2,Antioquia,NA,Caicedo,NA,NA,Municipio,Municipality,NA,CO.AN.CD,34
COL.2.24_2,COL,Colombia,COL.2_2,Antioquia,NA,Caldas,NA,NA,Municipio,Municipality,NA,CO.AN.CL,35
COL.2.25_2,COL,Colombia,COL.2_2,Antioquia,NA,Campamento,NA,NA,Municipio,Municipality,NA,CO.AN.CM,36
COL.2.26_2,COL,Colombia,COL.2_2,Antioquia,NA,Cañasgordas,NA,NA,Municipio,Municipality,NA,CO.AN.CG,37
COL.2.27_2,COL,Colombia,COL.2_2,Antioquia,NA,Caracolí,NA,NA,Municipio,Municipality,NA,CO.AN.CA,38
COL.2.28_2,COL,Colombia,COL.2_2,Antioquia,NA,Caramanta,NA,NA,Municipio,Municipality,NA,CO.AN.CT,39
COL.2.29_2,COL,Colombia,COL.2_2,Antioquia,NA,Carepa,NA,NA,Municipio,Municipality,NA,CO.AN.CP,40
COL.2.30_2,COL,Colombia,COL.2_2,Antioquia,NA,Carolina del Principe,Carolina,NA,Municipio,Municipality,NA,CO.AN.CR,41
COL.2.31_2,COL,Colombia,COL.2_2,Antioquia,NA,Caucasia,NA,NA,Municipio,Municipality,NA,CO.AN.CU,42
COL.2.32_2,COL,Colombia,COL.2_2,Antioquia,NA,Chigorodó,NA,NA,Municipio,Municipality,NA,CO.AN.CH,43
COL.2.33_2,COL,Colombia,COL.2_2,Antioquia,NA,Cisneros,NA,NA,Municipio,Municipality,NA,CO.AN.CI,44
COL.2.34_2,COL,Colombia,COL.2_2,Antioquia,NA,Ciudad Bolívar,NA,NA,Municipio,Municipality,NA,CO.AN.BO,45
COL.2.35_2,COL,Colombia,COL.2_2,Antioquia,NA,Cocorná,NA,NA,Municipio,Municipality,NA,CO.AN.CO,46
COL.2.36_2,COL,Colombia,COL.2_2,Antioquia,NA,Concepción,NA,NA,Municipio,Municipality,NA,CO.AN.CC,47
COL.2.37_2,COL,Colombia,COL.2_2,Antioquia,NA,Concordia,NA,NA,Municipio,Municipality,NA,CO.AN.CN,48
COL.2.38_2,COL,Colombia,COL.2_2,Antioquia,NA,Copacabana,NA,NA,Municipio,Municipality,NA,CO.AN.CB,49
COL.2.39_2,COL,Colombia,COL.2_2,Antioquia,NA,Dabeiba,NA,NA,Municipio,Municipality,NA,CO.AN.DA,50
COL.2.40_2,COL,Colombia,COL.2_2,Antioquia,NA,Don Matías,NA,NA,Municipio,Municipality,NA,CO.AN.DM,51
COL.2.41_2,COL,Colombia,COL.2_2,Antioquia,NA,Ebéjico,NA,NA,Municipio,Municipality,NA,CO.AN.EJ,52
COL.2.42_2,COL,Colombia,COL.2_2,Antioquia,NA,El Bagre,NA,NA,Municipio,Municipality,NA,CO.AN.EB,53
COL.2.43_2,COL,Colombia,COL.2_2,Antioquia,NA,El Carmen de Viboral,Carmen De Vibora,NA,Municipio,Municipality,NA,CO.AN,54
COL.2.44_2,COL,Colombia,COL.2_2,Antioquia,NA,El Sopetrán,NA,NA,Municipio,Municipality,NA,CO.AN.SO,55
COL.2.45_2,COL,Colombia,COL.2_2,Antioquia,NA,Entrerríos,NA,NA,Municipio,Municipality,NA,CO.AN.ER,56
COL.2.46_2,COL,Colombia,COL.2_2,Antioquia,NA,Envigado,NA,NA,Municipio,Municipality,NA,CO.AN.EN,57
COL.2.47_2,COL,Colombia,COL.2_2,Antioquia,NA,Fredonia,NA,NA,Municipio,Municipality,NA,CO.AN.FD,58
COL.2.48_2,COL,Colombia,COL.2_2,Antioquia,NA,Frontino,NA,NA,Municipio,Municipality,NA,CO.AN.FN,59
COL.2.49_2,COL,Colombia,COL.2_2,Antioquia,NA,Giraldo,NA,NA,Municipio,Municipality,NA,CO.AN.GL,60
COL.2.50_2,COL,Colombia,COL.2_2,Antioquia,NA,Girardota,NA,NA,Municipio,Municipality,NA,CO.AN.GT,61
COL.2.51_2,COL,Colombia,COL.2_2,Antioquia,NA,Gómez Plata,NA,NA,Municipio,Municipality,NA,CO.AN.GP,62
