"age_lower","antioquia","atlantico","bolivar","boyaca","caldas","cauca","cesar","cordoba","cundinamarca","guajira","huila","magdalena","meta","narino","norte_santander","risaralda","santander","sucre","tolima","valle"
"0",1432,1346,1572,112,154,210,1872,804,820,669,2712,634,2905,139,3389,346,3107,1558,3156,4266
"1",1016,1139,1239,81,100,140,1047,686,537,373,1765,527,2060,135,2072,185,2191,1135,2013,3385
"10",2122,2945,2402,198,210,264,2093,1534,1000,905,2265,1138,2785,162,2673,453,3173,1695,3283,5997
"11",2081,3030,2303,215,173,295,1988,1392,980,745,2289,1094,2812,172,2447,512,3323,1612,3090,5800
"12",2264,3009,2216,231,207,282,1914,1323,960,677,2017,981,2639,175,2299,525,3385,1502,2968,5875
"13",2131,2981,2114,243,200,290,1782,1283,958,669,1922,974,2512,168,2120,535,3473,1425,3089,5940
"14",2384,3054,2037,278,180,291,1751,1227,983,644,1912,899,2477,156,1907,544,3410,1350,2949,5755
"15",11457,10935,6658,1137,751,1296,6061,4573,4918,2097,7684,3166,9375,710,6768,2381,14573,4153,12748,22694
"2",1158,1329,1404,110,120,133,1241,854,588,478,2075,556,2094,117,2333,285,2277,1275,2175,3449
"20",20635,8928,5703,1455,1135,1886,5404,4219,7070,1908,9140,2568,13355,1291,8000,3570,20743,3719,14760,33110
"3",1344,1558,1619,119,118,183,1401,987,668,683,2294,775,2205,135,2603,301,2233,1410,2319,3708
"30",14945,3877,3152,1243,936,1350,2903,2421,4643,1006,5623,1387,9986,1073,4841,2700,12959,2066,10260,23550
"4",1536,1853,1768,137,164,180,1736,1176,775,759,2425,890,2409,147,2813,316,2335,1578,2649,3882
"40",11315,2217,1924,969,686,979,1718,1601,3372,535,3785,919,6475,746,2920,2229,9005,1296,7242,15961
"5",1545,1985,2077,163,179,183,1877,1313,866,857,2615,1018,2605,191,2952,357,2502,1664,2958,4299
"50",8902,1809,1521,727,539,705,1195,1317,2854,427,3044,688,4734,498,2297,1799,6468,1045,6156,12881
"6",1683,2382,2108,174,190,246,2026,1363,922,917,2668,1115,2704,164,2992,394,2787,1761,3132,4898
"60",4830,1047,857,431,321,428,834,940,2231,288,1813,427,2807,297,1502,1103,3917,670,4195,7733
"7",1915,2471,2328,207,205,258,2057,1465,970,958,2536,1189,2913,161,2862,443,3038,1857,3319,5283
"70",2292,565,485,216,184,276,542,502,1230,143,1079,267,1673,181,1010,646,2258,412,2624,4444
"8",1932,2763,2368,213,210,268,2143,1507,1021,950,2548,1166,2855,157,2815,470,3085,1832,3351,5638
"80",888,244,260,85,96,140,247,269,488,76,560,125,778,50,447,307,931,174,1286,2188
"9",1953,2864,2387,249,222,276,2191,1473,983,935,2502,1157,2734,175,2691,512,3281,1758,3329,5830
"90",152,57,49,6,7,15,62,46,62,12,90,31,135,14,74,48,168,35,213,429
