"isoweek","isoyear","age_lower","antioquia","atlantico","bolivar","norte_santander","santander","sucre","magdalena","meta","cauca","cesar","guajira","huila","cundinamarca","risaralda","boyaca","tolima","valle","cordoba","caldas","narino"
1,2009,"0",1,4,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2009,"1",0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2009,"10",0,12,1,6,0,0,4,3,1,2,2,1,0,0,0,0,0,0,0,0
1,2009,"11",0,8,2,0,3,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0
1,2009,"12",1,4,5,0,2,1,0,0,0,2,0,0,1,0,1,1,0,0,0,0
1,2009,"13",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
1,2009,"14",0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,2009,"15",5,27,5,3,11,1,1,3,0,0,2,2,0,0,1,1,1,0,0,0
1,2009,"2",0,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
1,2009,"20",10,19,0,1,13,1,0,1,2,3,4,1,4,0,0,4,2,1,0,0
1,2009,"3",0,6,0,3,1,0,0,1,0,0,0,2,0,0,1,1,1,1,0,0
1,2009,"30",3,6,0,1,5,1,0,4,0,1,3,2,0,0,0,1,4,2,0,0
1,2009,"4",0,7,0,2,3,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0
1,2009,"40",2,2,1,4,2,1,1,1,0,1,0,0,0,0,0,3,4,1,0,0
1,2009,"5",0,11,1,2,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
1,2009,"50",3,5,2,1,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0
1,2009,"6",1,7,0,0,2,0,2,1,0,3,0,1,0,0,0,0,0,1,0,0
1,2009,"60",0,3,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0
1,2009,"7",0,9,0,2,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0
1,2009,"70",1,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0
1,2009,"8",1,9,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2009,"80",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0
1,2009,"9",0,9,0,2,1,1,2,0,0,2,2,3,0,2,0,1,1,1,0,0
1,2010,"0",0,3,2,17,2,1,1,0,0,0,4,12,1,0,0,10,13,0,1,0
1,2010,"1",0,0,0,1,1,0,0,1,0,1,2,1,0,0,0,1,0,0,1,0
1,2010,"10",0,4,0,7,9,1,3,1,1,7,0,2,2,2,1,9,15,0,0,0
1,2010,"11",2,2,1,6,10,0,0,1,2,4,2,6,1,1,0,5,11,0,0,0
1,2010,"12",2,3,0,4,7,2,4,0,1,1,0,4,1,3,1,1,17,0,0,0
1,2010,"13",2,3,0,8,10,2,0,1,1,2,1,4,1,3,4,8,13,0,0,0
1,2010,"14",2,8,0,1,12,1,0,1,0,1,3,6,3,4,0,4,9,1,1,0
1,2010,"15",10,9,4,19,38,1,5,1,2,16,4,27,16,13,1,38,63,0,3,0
1,2010,"2",1,3,0,8,12,4,1,0,0,1,0,5,1,1,1,11,6,1,0,0
1,2010,"20",16,7,3,20,65,1,2,13,8,10,3,23,15,11,3,36,74,1,5,0
1,2010,"3",0,1,0,10,10,0,2,0,1,0,1,6,1,0,1,5,9,0,1,0
1,2010,"30",16,6,2,13,35,1,1,11,9,4,2,28,15,13,2,16,30,0,3,0
1,2010,"4",1,0,1,15,5,0,0,1,0,1,3,5,1,1,0,5,7,0,0,0
1,2010,"40",13,4,3,8,22,0,1,5,4,1,2,18,14,10,0,29,41,0,3,1
1,2010,"5",0,4,2,14,4,0,1,0,1,1,0,8,3,0,2,7,12,0,0,1
1,2010,"50",10,4,0,5,15,0,0,3,2,1,0,9,9,9,2,17,34,0,1,1
1,2010,"6",0,1,0,13,6,1,1,0,1,1,0,7,4,2,0,8,9,0,0,0
1,2010,"60",6,3,0,4,9,0,0,3,1,2,1,4,6,3,1,9,19,0,1,0
1,2010,"7",2,0,0,15,10,4,1,1,0,1,2,7,5,1,0,9,8,0,3,0
1,2010,"70",0,0,0,4,9,0,0,1,2,0,0,3,3,2,1,10,11,0,0,0
1,2010,"8",0,2,0,11,9,0,0,3,1,3,2,9,3,0,0,7,14,0,0,0
1,2010,"80",1,0,0,0,2,0,0,1,0,0,0,2,2,1,0,1,1,0,0,0
1,2010,"9",1,2,0,9,12,3,1,3,2,3,2,11,0,2,0,7,8,0,2,0
1,2010,"90",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,2011,"0",0,0,2,9,1,3,0,0,0,5,0,4,1,0,0,0,6,1,0,0
1,2011,"1",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1,2011,"10",1,2,3,4,0,1,0,0,0,0,0,2,2,0,1,2,2,0,1,0
1,2011,"11",2,1,2,1,1,1,1,2,0,2,1,2,1,0,0,2,3,0,1,0
1,2011,"12",0,3,1,3,2,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0
1,2011,"13",2,2,1,2,2,3,0,2,0,1,0,2,1,0,0,1,0,0,0,0
1,2011,"14",1,0,3,2,0,0,0,1,0,0,1,2,0,0,0,0,2,0,1,0
1,2011,"15",6,9,3,8,0,4,3,5,1,0,0,5,3,0,1,10,6,0,3,1
1,2011,"2",0,3,0,5,2,4,0,2,0,0,0,4,1,0,0,3,0,0,0,0
1,2011,"20",11,7,2,10,11,5,2,17,3,1,1,12,2,3,2,6,16,2,1,0
1,2011,"3",3,1,4,4,1,3,0,6,0,1,0,2,0,0,0,1,1,1,0,0
1,2011,"30",13,6,0,7,4,1,2,7,3,2,2,5,2,2,1,10,11,1,0,0
