"week","antioquia","atlantico","bolivar","boyaca","caldas","cauca","cesar","cordoba","cundinamarca","guajira","huila","magdalena","meta","narino","norte_santander","risaralda","santander","sucre","tolima","valle"
1,1514,2215,1003,124,121,159,938,776,948,559,1532,537,1168,98,1444,225,1538,734,2440,3260
2,1596,2011,947,146,145,212,822,792,989,556,1430,549,1291,105,1358,264,1698,640,2566,3647
3,1493,1753,843,145,165,178,839,782,1013,510,1569,498,1280,119,1414,358,1761,718,2585,4148
4,1355,1437,761,179,166,218,795,778,906,488,1626,395,1342,115,1314,394,1726,724,2338,4479
5,1508,1334,760,232,172,269,818,716,933,507,1701,415,1524,109,1368,489,1876,667,2456,5155
6,1394,1113,720,215,166,274,760,627,1003,436,1673,331,1725,136,1284,597,1970,659,2364,5337
7,1324,945,586,240,165,268,701,593,968,416,1630,352,1755,110,1123,558,1884,667,2288,5194
8,1289,747,543,192,175,260,645,541,928,352,1635,376,1918,126,1090,645,1800,512,2167,5059
9,1405,686,539,200,173,261,573,489,983,342,1607,344,1946,160,1205,803,2000,525,2237,5218
10,1256,573,414,223,167,274,591,431,950,280,1490,293,2066,131,1119,766,2067,494,2244,5166
11,1288,517,418,240,206,225,538,398,904,291,1391,241,2069,177,1083,842,2040,459,2076,4702
12,1336,447,371,203,194,237,480,339,888,227,1344,247,2109,126,1036,720,1965,405,1875,4243
13,1513,401,377,233,135,222,422,288,1053,232,1328,217,2090,129,1029,740,2198,376,2029,4239
14,1585,388,389,215,154,235,459,293,1050,239,1320,250,2217,119,1083,746,2391,384,2163,4422
15,1824,339,390,243,178,258,405,309,1092,195,1317,211,2448,119,1048,690,2483,346,2138,4514
16,2027,370,411,237,158,241,466,293,932,238,1473,152,2541,156,1082,712,2566,402,2005,4244
17,2292,335,388,285,216,208,505,299,945,205,1450,213,2622,156,1049,695,2636,364,2025,4223
18,2327,369,463,241,162,279,554,356,919,211,1430,196,2803,167,1156,529,2651,403,2141,4112
19,2571,367,491,266,143,310,605,430,926,233,1485,226,2826,159,1161,654,2856,495,1944,4230
20,2843,418,617,288,174,282,568,437,905,219,1467,263,2810,158,1181,591,2778,528,1943,4172
21,2827,416,681,220,147,264,691,444,930,225,1480,268,2809,170,1161,567,2804,564,1845,3830
22,2929,449,691,224,152,244,828,465,863,243,1513,306,2893,217,1135,558,2795,625,1901,3882
23,3136,469,702,237,141,223,901,530,762,228,1450,340,2666,197,1143,436,2676,680,1819,3855
24,3090,506,661,206,163,218,968,503,736,243,1351,389,2445,205,1083,437,2610,637,1710,3817
25,2843,501,620,148,146,174,922,554,666,251,1281,451,2249,149,1055,373,2506,682,1576,3623
26,2847,551,756,166,166,158,955,617,628,246,1165,387,1971,151,1077,336,2400,795,1581,3374
27,3101,723,891,179,157,172,1042,737,765,308,1429,486,2126,154,1132,300,2582,848,1875,3689
28,2680,838,868,156,129,173,1054,737,673,283,1365,472,1931,89,1187,319,2600,933,1727,3395
29,2554,904,920,164,150,167,1073,787,630,272,1287,453,1804,109,1178,381,2568,974,1621,3578
30,2518,876,878,151,159,135,954,728,561,218,1088,484,1635,104,1142,323,2576,853,1563,3353
31,2596,1046,941,143,130,133,992,765,505,268,1107,480,1466,93,1150,276,2447,843,1640,3351
32,2559,950,964,150,149,124,931,764,539,234,1023,457,1404,82,1165,281,2318,819,1580,3174
33,2483,973,945,128,129,130,890,853,512,223,1012,443,1346,100,1185,268,2171,849,1566,2993
34,2377,1029,984,143,147,127,893,851,523,215,987,448,1295,125,1220,237,2149,830,1569,3119
35,2331,1073,1066,108,117,131,962,833,549,224,964,464,1281,113,1270,287,2194,843,1634,3106
36,2112,1151,1229,103,112,118,937,774,484,221,892,464,1153,118,1228,270,2180,860,1734,2976
37,1986,1300,1153,100,108,131,866,801,528,222,870,490,1207,112,1270,237,2176,821,1775,3125
38,2060,1387,1293,117,117,153,957,827,584,271,919,545,1139,156,1273,254,2160,867,1734,3140
39,1957,1411,1223,109,103,140,1053,827,559,287,844,512,1089,138,1244,234,2075,896,1786,2850
40,1808,1544,1444,131,102,155,1036,885,577,294,907,552,1103,152,1336,211,2228,941,1739,2991
41,1675,1702,1520,140,86,148,1144,879,586,358,844,582,995,135,1318,217,2041,895,1684,2726
42,1695,1888,1669,132,125,159,1267,904,687,408,914,618,1020,160,1458,210,2118,1026,1841,2954
43,1520,1964,1714,115,120,169,1188,787,659,371,945,649,975,152,1442,159,1967,1062,1863,2942
44,1383,2255,1776,122,92,153,1284,834,618,454,1006,715,1066,141,1538,184,1866,933,2024,2819
45,1354,2574,1841,128,86,170,1315,829,605,445,960,709,1076,162,1619,211,1866,855,2013,2924
46,1423,2895,1994,119,85,207,1336,866,663,528,977,749,1123,147,1669,177,1959,834,2084,3203
47,1321,2762,1829,145,103,201,1259,795,707,473,1149,756,1077,163,1659,177,1992,791,2180,3164
48,1260,2721,1772,122,101,205,1142,815,594,589,1192,692,979,162,1646,156,1938,757,2116,3413
49,1299,2787,1707,133,91,256,1233,872,651,593,1449,788,1067,180,1781,192,1957,817,2270,3602
50,1360,2807,1630,132,88,257,1161,848,702,614,1563,799,1024,173,1749,210,1987,847,2289,3742
51,1311,2607,1424,130,99,217,1113,767,746,585,1605,736,943,111,1718,187,1808,763,2219,3821
52,1296,2274,1185,122,97,219,1044,729,687,529,1507,580,1000,92,1585,165,1619,672,2220,3714
53,481,290,149,29,55,73,210,101,185,52,420,121,120,27,384,113,405,68,462,986
