"isoweek","seasonal_profile","total_cases","antioquia","atlantico","bolivar","boyaca","caldas","cauca","cesar","cordoba","cundinamarca","guajira","huila","magdalena","meta","narino","norte_santander","risaralda","santander","sucre","tolima","valle"
1,0.0191433373321572,101912,1950.9357941948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0202813585530247,101912,2066.91381285585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0182892698602763,101912,1863.89607000048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0160334292050972,101912,1633.99883714987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0170105716672452,101912,1733.58137975229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0159394775482012,101912,1624.42403589228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0149058406235735,101912,1519.08402962962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.014159958914795,101912,1443.06973292459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0160270546567162,101912,1633.34919417526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0145522899974557,101912,1483.05297822071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0135018143041119,101912,1375.99689936065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0125269633149476,101912,1276.64788535294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0133916822716381,101912,1364.77312366718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0148205813127639,101912,1510.3950827464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0137425069458486,101912,1400.52636786532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0154863505028043,101912,1578.24495244179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0161827924118059,101912,1649.22074027196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0.0161972602119112,101912,1650.6951827163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0.0182154248165238,101912,1856.37037390158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.0191299947766771,101912,1949.57602768072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0.0201652665162426,101912,2055.08264120331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0.0213429256547622,101912,2175.10023932813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0227708841072527,101912,2320.62634113834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.0214756580385109,101912,2188.62726202072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.0210485728273893,101912,2145.1021539849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.0221119927646849,101912,2253.47740663457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.0244190745008394,101912,2488.59672052954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.0227352030930283,101912,2316.9900176167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0204741063608606,101912,2086.55712744803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.0198360526820881,101912,2021.53180093696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0212280690347544,101912,2163.39497146989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0206420771607628,101912,2103.67536760766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0204307591200077,101912,2082.13952343823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0214319821657635,101912,2184.17616647729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.021096702547223,101912,2150.00714999259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0211698872101184,101912,2157.46554535759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0190299021336497,101912,1939.37538624451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0210336619801785,101912,2143.58255972396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0206625179981423,101912,2105.75853422668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0212647639273654,101912,2167.13462136566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0197033797637443,101912,2008.01083848271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.0208210463187254,101912,2121.91447243394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
