"year","antioquia","atlantico","bolivar","boyaca","caldas","cauca","cesar","cordoba","cundinamarca","guajira","huila","magdalena","meta","narino","norte_santander","risaralda","santander","sucre","tolima","valle"
2009,1447,2634,452,353,335,702,737,329,762,779,3556,706,2651,76,4673,594,9137,1249,3685,11471
2010,26118,3862,2092,1596,1515,1687,3145,574,5316,824,7697,1428,5929,221,8256,12153,20785,1630,10864,20458
2011,1969,1204,649,189,207,521,1314,1093,902,444,2044,309,2718,109,2624,688,2162,1268,2204,2656
2012,2067,1637,1438,261,82,328,4675,1444,1941,684,6083,695,6183,83,4170,243,4944,1896,4972,3127
2013,5749,7726,4614,658,760,579,4701,2166,4276,2057,4867,3150,9046,530,8017,437,16129,3584,12464,22773
2014,6681,6490,2922,520,911,369,3333,4263,3826,1496,6888,1403,7665,602,8532,709,14306,4694,8106,10191
2015,7064,4528,3182,935,1192,641,4542,1766,3305,850,5279,1522,6239,395,4363,1407,8444,2989,9988,20277
2016,27333,1382,1207,2081,768,796,1118,764,4288,210,3954,532,2552,471,2662,2905,6883,901,5773,25879
2017,4032,1199,471,196,101,92,610,583,1126,161,1217,142,1253,115,1177,177,1824,415,2989,4845
2018,3708,3285,1395,94,45,173,2103,3943,1249,1505,1110,2146,4534,155,4880,169,2638,702,3281,2286
2019,4990,3985,5376,813,437,417,7232,4849,3423,997,10975,3652,17033,512,6391,454,9673,6380,14944,7536
2020,2133,2648,2508,503,498,1271,2219,1674,3698,391,6697,1112,2702,472,1227,550,3423,1623,6792,28523
2021,1247,7905,8413,283,74,643,2050,2652,936,1243,1106,1947,1509,665,2915,120,942,1423,1500,8508
2022,2063,10517,7094,191,183,552,3245,3943,738,3260,1178,1490,5388,624,2546,102,1912,4829,3311,4261
2023,5311,5386,8738,326,179,1803,5061,4232,4113,2810,4712,3457,12625,2184,4394,253,11420,3399,12391,24204
